Designator,Footprint,Quantity,Value,LCSC Part #
C101,0603,1,1u,
C102,0402,1,0.1u,
"C103, C106",0402,2,0.01u,
C104,0402,1,22u,
C105,0402,1,0.33u,
"Q101, Q102",TO-220-3_Vertical,2,Q_NMOS_GDS,
"R101, R102, R103, R104, R106, R108",2512,6,4.7k,
R105,0402,1,15k,
"R107, R110",0402,2,100k,
R109,0402,1,10k,
U102,SOIC-8_3.9x4.9mm_P1.27mm,1,LM555xM,
U104,SOT-23-5,1,74AHC1G02,
U107,TO-220-3_Vertical,1,LM7805_TO220,
